[GIN] 2026/05/02 - 16:42:14 | 201 |  76.57ms |       127.0.0.1 | POST     "/api/v1/auth/register"
[GIN] 2026/05/02 - 16:42:16 | 200 |   2.18ms |       127.0.0.1 | GET      "/api/v1/subjects"
[GIN] 2026/05/02 - 16:45:27 | 200 |   2.34ms |       127.0.0.1 | GET      "/api/v1/plans"
[GIN] 2026/05/02 - 16:45:27 | 200 |  13.39ms |       127.0.0.1 | GET      "/api/v1/stats"
[GIN] 2026/05/02 - 16:45:46 | 200 |   9.45ms |             ::1 | POST     "/api/v1/admin/auth/refresh"
[GIN] 2026/05/02 - 16:45:46 | 200 |  25.54ms |             ::1 | POST     "/api/v1/admin/auth/refresh"
[GIN] 2026/05/02 - 16:45:47 | 200 |   2.65ms |             ::1 | GET      "/api/v1/subjects"
[GIN] 2026/05/02 - 16:45:47 | 200 |   2.77ms |             ::1 | GET      "/api/v1/plans"
[GIN] 2026/05/02 - 16:45:47 | 200 |   3.77ms |             ::1 | GET      "/api/v1/subjects"
[GIN] 2026/05/02 - 16:45:47 | 200 |   2.76ms |             ::1 | GET      "/api/v1/plans"
[GIN] 2026/05/02 - 16:45:47 | 200 |   16.8ms |             ::1 | GET      "/api/v1/stats"
[GIN] 2026/05/02 - 16:45:47 | 200 |  26.16ms |             ::1 | GET      "/api/v1/classifications?subject=english"
[GIN] 2026/05/02 - 16:45:47 | 200 |  34.95ms |             ::1 | GET      "/api/v1/words?subject=english&page=1&page_size=18"
[GIN] 2026/05/02 - 16:45:47 | 200 |   5.56ms |             ::1 | GET      "/api/v1/classifications?subject=english"
[GIN] 2026/05/02 - 16:45:47 | 200 |  19.89ms |             ::1 | GET      "/api/v1/stats"
[GIN] 2026/05/02 - 16:45:47 | 200 |   9.69ms |             ::1 | GET      "/api/v1/words?subject=english&page=1&page_size=18"
[GIN] 2026/05/02 - 16:45:47 | 200 |  14.15ms |             ::1 | GET      "/api/v1/subjects"
[GIN] 2026/05/02 - 16:45:47 | 200 |   6.73ms |             ::1 | GET      "/api/v1/plans"
[GIN] 2026/05/02 - 16:45:47 | 200 |   9.24ms |             ::1 | GET      "/api/v1/admin/grades?page=1&page_size=10"
[GIN] 2026/05/02 - 16:45:47 | 200 |  31.38ms |             ::1 | GET      "/api/v1/admin/roles"
[GIN] 2026/05/02 - 16:45:47 | 200 |     22ms |             ::1 | GET      "/api/v1/admin/categories?page=1&page_size=10&kind=topic&subject=english"
[GIN] 2026/05/02 - 16:45:47 | 200 |  37.76ms |             ::1 | GET      "/api/v1/admin/users?page=1&page_size=10"
[GIN] 2026/05/02 - 16:45:47 | 200 |   6.35ms |             ::1 | GET      "/api/v1/admin/wechatpay/config"
[GIN] 2026/05/02 - 16:45:47 | 200 |  44.61ms |             ::1 | GET      "/api/v1/admin/words?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 16:45:47 | 200 |  12.56ms |             ::1 | GET      "/api/v1/admin/payments/orders?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 16:45:47 | 200 |  56.45ms |             ::1 | GET      "/api/v1/stats"
[GIN] 2026/05/02 - 16:45:47 | 200 |  17.49ms |             ::1 | GET      "/api/v1/admin/payments/subscriptions?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:01:50 | 200 |   8.56ms |             ::1 | POST     "/api/v1/admin/auth/refresh"
[GIN] 2026/05/02 - 17:01:50 | 200 |   2.29ms |             ::1 | GET      "/api/v1/plans"
[GIN] 2026/05/02 - 17:01:50 | 200 |   2.63ms |             ::1 | GET      "/api/v1/subjects"
[GIN] 2026/05/02 - 17:01:50 | 200 |   9.36ms |             ::1 | GET      "/api/v1/admin/grades?page=1&page_size=10"
[GIN] 2026/05/02 - 17:01:50 | 200 |  24.29ms |             ::1 | GET      "/api/v1/admin/roles"
[GIN] 2026/05/02 - 17:01:50 | 200 |  27.29ms |             ::1 | GET      "/api/v1/admin/users?page=1&page_size=10"
[GIN] 2026/05/02 - 17:01:50 | 200 |   6.33ms |             ::1 | GET      "/api/v1/admin/wechatpay/config"
[GIN] 2026/05/02 - 17:01:50 | 200 |  31.18ms |             ::1 | GET      "/api/v1/admin/words?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:01:50 | 200 |  27.28ms |             ::1 | GET      "/api/v1/admin/categories?page=1&page_size=10&kind=topic&subject=english"
[GIN] 2026/05/02 - 17:01:50 | 200 |     41ms |             ::1 | GET      "/api/v1/stats"
[GIN] 2026/05/02 - 17:01:50 | 200 |  13.59ms |             ::1 | GET      "/api/v1/admin/payments/orders?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:01:50 | 200 |  21.23ms |             ::1 | GET      "/api/v1/admin/payments/subscriptions?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:01:50 | 200 |   7.43ms |             ::1 | POST     "/api/v1/admin/auth/refresh"
[GIN] 2026/05/02 - 17:01:50 | 200 |   2.27ms |             ::1 | GET      "/api/v1/subjects"
[GIN] 2026/05/02 - 17:01:50 | 200 |   2.78ms |             ::1 | GET      "/api/v1/plans"
[GIN] 2026/05/02 - 17:01:50 | 200 |   9.59ms |             ::1 | GET      "/api/v1/admin/grades?page=1&page_size=10"
[GIN] 2026/05/02 - 17:01:50 | 200 |  20.26ms |             ::1 | GET      "/api/v1/admin/roles"
[GIN] 2026/05/02 - 17:01:50 | 200 |   29.4ms |             ::1 | GET      "/api/v1/admin/users?page=1&page_size=10"
[GIN] 2026/05/02 - 17:01:50 | 200 |  25.19ms |             ::1 | GET      "/api/v1/admin/categories?page=1&page_size=10&kind=topic&subject=english"
[GIN] 2026/05/02 - 17:01:50 | 200 |   7.27ms |             ::1 | GET      "/api/v1/admin/wechatpay/config"
[GIN] 2026/05/02 - 17:01:50 | 200 |  47.09ms |             ::1 | GET      "/api/v1/stats"
[GIN] 2026/05/02 - 17:01:50 | 200 |  49.78ms |             ::1 | GET      "/api/v1/admin/words?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:01:50 | 200 |  15.59ms |             ::1 | GET      "/api/v1/admin/payments/subscriptions?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:01:50 | 200 |   33.3ms |             ::1 | GET      "/api/v1/admin/payments/orders?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:52:51 | 200 |   8.86ms |             ::1 | POST     "/api/v1/admin/auth/refresh"
[GIN] 2026/05/02 - 17:52:51 | 200 |   8.86ms |             ::1 | POST     "/api/v1/admin/auth/refresh"
[GIN] 2026/05/02 - 17:52:51 | 200 |   4.16ms |             ::1 | GET      "/api/v1/subjects"
[GIN] 2026/05/02 - 17:52:51 | 200 |   4.16ms |             ::1 | GET      "/api/v1/plans"
[GIN] 2026/05/02 - 17:52:51 | 200 |   11.2ms |             ::1 | GET      "/api/v1/admin/grades?page=1&page_size=10"
[GIN] 2026/05/02 - 17:52:51 | 200 |  24.21ms |             ::1 | GET      "/api/v1/admin/roles"
[GIN] 2026/05/02 - 17:52:51 | 200 |  30.75ms |             ::1 | GET      "/api/v1/admin/users?page=1&page_size=10"
[GIN] 2026/05/02 - 17:52:51 | 200 |  33.48ms |             ::1 | GET      "/api/v1/admin/words?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:52:51 | 200 |   7.97ms |             ::1 | GET      "/api/v1/admin/wechatpay/config"
[GIN] 2026/05/02 - 17:52:51 | 200 |   28.6ms |             ::1 | GET      "/api/v1/admin/categories?page=1&page_size=10&kind=topic&subject=english"
[GIN] 2026/05/02 - 17:52:51 | 200 |  44.84ms |             ::1 | GET      "/api/v1/stats"
[GIN] 2026/05/02 - 17:52:51 | 200 |   15.8ms |             ::1 | GET      "/api/v1/admin/payments/subscriptions?page=1&page_size=10&subject=english"
[GIN] 2026/05/02 - 17:52:51 | 200 |  29.21ms |             ::1 | GET      "/api/v1/admin/payments/orders?page=1&page_size=10&subject=english"
